symbol,type,entry_price,timestamp,amount,exit_price,exit_time,pnl
BNBUSDT,buy,653.1,2025-05-14 13:40:00,1.0,653.87,2025-05-14 18:20:00,0.7699999999999818
BNBUSDT,buy,652.0,2025-05-14 20:15:00,1.0,653.67,2025-05-15 00:05:00,1.669999999999959
BNBUSDT,buy,652.11,2025-05-15 01:25:00,1.0,651.61,2025-05-15 04:55:00,-0.5
BNBUSDT,buy,648.09,2025-05-15 06:00:00,1.0,650.84,2025-05-15 08:20:00,2.75
BNBUSDT,buy,648.75,2025-05-15 09:35:00,1.0,,,
